tradingdate,stockcode,weight
2021/12/31,301098.SZ,8.94389E-07
2021/12/31,300998.SZ,8.80346E-07
2021/12/31,301033.SZ,8.51099E-07
2021/12/31,301049.SZ,8.47887E-07
2021/12/31,301032.SZ,8.43329E-07
2021/12/31,002818.SZ,8.43329E-07
2021/12/31,301056.SZ,8.33585E-07
2021/12/31,301036.SZ,8.06274E-07
2021/12/31,301041.SZ,7.9701E-07
2021/12/31,301072.SZ,7.94652E-07
2021/12/31,300854.SZ,7.27984E-07
2021/12/31,301063.SZ,7.26007E-07
2021/12/31,001234.SZ,7.23335E-07
2021/12/31,301038.SZ,7.07131E-07
2021/12/31,301010.SZ,6.86954E-07
2021/12/31,301059.SZ,6.5687E-07
2021/12/31,301027.SZ,6.25752E-07
2021/12/31,603176.SH,6.19432E-07
2021/12/31,301037.SZ,6.15276E-07
2021/12/31,301073.SZ,6.05529E-07
2021/12/31,301053.SZ,5.86198E-07
2021/12/31,301057.SZ,5.44865E-07
2021/12/31,301068.SZ,5.37028E-07
2021/12/31,603638.SH,4.19455E-07
2021/12/31,002385.SZ,1.37847E-07
